,code
0,603817
1,300611
2,300613
3,000506
4,300323
5,300609
6,600984
7,600858
8,603615
9,300606
10,002847
11,300300
12,603330
13,002713
14,603839
15,300610
16,300605
17,603323
18,300608
19,002323
20,300578
21,603881
22,603208
23,601212
24,600827
25,600428
26,002849
27,002451
28,300607
29,300603
30,603690
31,603040
32,300612
33,002235
34,002848
35,600075
36,601128
37,603603
38,002846
39,300371
40,300615
41,603177
42,600802
43,002455
44,600908
45,600963
46,300601
47,002342
48,002178
49,600926
50,603859
51,603036
52,600095
53,600779
54,300562
55,002721
56,600856
57,000921
58,002419
59,002038
60,000528
61,600363
62,601997
63,002775
64,000858
65,002839
66,600919
67,601992
68,300299
69,603389
70,002307
71,600197
72,300510
73,601890
74,000839
75,600308
76,000514
77,600809
78,000620
79,002194
80,000501
81,000059
82,601608
83,000910
84,000680
85,600399
86,002508
87,000596
88,300592
89,600320
90,002043
91,000636
92,601229
93,600569
94,601009
95,603589
96,600703
97,002592
98,603729
99,600297
100,600089
101,603598
102,002610
103,002531
104,601919
105,000418
106,300052
107,002034
108,601588
109,002311
110,000797
111,000425
112,000957
113,000488
114,002572
115,000823
116,600764
117,000900
118,600822
119,600368
120,002838
121,002078
122,000568
123,002567
124,000852
125,600266
126,002705
127,600060
128,603898
129,002142
130,300175
131,000786
132,002375
133,300482
134,002558
135,300142
136,000905
137,603165
138,600167
139,603123
140,001896
141,603609
142,002233
143,002410
144,600808
145,000651
146,002236
147,600965
148,002399
149,600539
150,300103
151,002271
152,000811
153,600825
154,601117
155,600207
156,002204
157,600227
158,002714
159,002507
160,600717
161,603799
162,601226
163,600833
164,603800
165,603019
166,002035
167,000655
168,002200
169,002695
170,300156
171,600690
172,603066
173,000959
174,002543
175,603816
176,600798
177,600720
178,300172
179,002372
180,002374
181,600782
182,601238
183,000401
184,000796
185,002560
186,002616
187,000789
188,002469
189,001979
190,603559
191,000625
192,002146
193,000860
194,603360
195,300553
196,300506
197,600815
198,600163
199,600153
200,600284
201,600486
